id	dens11
4139	 12.69 
4140	 67.49 
4141	 38.93 
4142	 216.49 
4143	 176.59 
4144	 95.30 
4145	 30.35 
4146	 55.52 
4147	 134.90 
4148	 156.83 
4149	 53.62 
4150	 34.81 
4151	 65.89 
4152	 87.39 
4153	 55.33 
4154	 1.73 
4155	 13.84 
4156	 5.75 
4157	 49.22 
4158	 65.90 
4159	 9.53 
4160	 18.35 
4161	 30.83 
4162	 12.34 
4163	 80.70 
4164	 13.32 
4165	 145.13 
4166	 265.59 
4167	 1.65 
4168	 309.31 
4169	 70.40 
4170	 190.53 
4171	 115.66 
4172	 1.92 
4173	 14.10 
4174	 3.34 
4175	 24.34 
4176	 221.58 
4177	 26.27 
4178	 32.80 
4179	 208.67 
4180	 80.10 
4181	 156.64 
4182	 11.89 
4183	 5.79 
4184	 12.93 
4185	 96.94 
4186	 17.21 
4187	 65.39 
4188	 21.95 
4189	 64.31 
4190	 25.39 
4191	 65.56 
4192	 150.19 
4193	 40.15 
4194	 165.29 
4195	 35.62 
4196	 112.80 
4197	 45.64 
4198	 46.61 
4199	 49.97 
4200	 22.04 
4201	 56.81 
4202	 55.61 
4203	 221.17 
4204	 2.17 
4205	 10.81 
4206	 39.42 
4207	 8.09 
4208	 187.11 
4209	 63.71 
4210	 112.30 
4211	 86.69 
4212	 272.73 
4213	 172.02 
4214	 107.29 
4215	 188.96 
4216	 22.05 
4217	 68.66 
4218	 62.45 
4219	 36.29 
4220	 59.99 
4221	 30.89 
4222	 180.54 
4223	 165.44 
4224	 3.81 
4225	 164.65 
4226	 29.37 
4227	 26.65 
4228	 131.54 
4229	 17.00 
4230	 85.45 
4231	 32.40 
4232	 77.21 
4233	 6.03 
4234	 35.36 
4235	 7.14 
4236	 5.86 
4237	 72.18 
4238	 80.62 
4239	 19.61 
4240	 245.25 
4241	 156.80 
4242	 123.05 
4243	 313.15 
4244	 97.50 
4245	 203.94 
4246	 52.54 
4247	 77.04 
4248	 3.73 
4249	 20.17 
4250	 67.61 
5001	 108.29 
5002	 56.71 
5003	 94.37 
5004	 55.38 
5005	 488.38 
5006	 65.12 
5007	 219.89 
5008	 61.75 
5009	 58.69 
5010	 39.43 
5011	 57.86 
5012	 133.19 
5013	 139.50 
5014	 80.49 
5015	 84.70 
5016	 69.64 
5017	 451.03 
5018	 105.23 
5019	 59.33 
5020	 51.94 
5021	 49.83 
5022	 175.47 
5023	 73.31 
5024	 51.76 
5025	 136.89 
5026	 70.42 
5027	 60.01 
5028	 83.18 
5029	 93.72 
5030	 93.25 
5031	 150.88 
5032	 70.37 
5033	 65.82 
5034	 85.82 
5035	 45.66 
5036	 144.00 
5037	 35.66 
5038	 93.50 
5039	 82.66 
5040	 119.82 
5041	 78.05 
5042	 94.66 
5044	 40.33 
5045	 64.30 
5046	 64.33 
5047	 63.58 
5048	 68.36 
5049	 100.21 
5050	 161.57 
5051	 78.19 
5052	 87.55 
5053	 115.03 
5054	 69.62 
5055	 101.29 
5056	 105.63 
5057	 59.01 
5058	 109.93 
5059	 157.08 
5060	 22.74 
5061	 70.19 
5062	 82.23 
5063	 113.11 
5064	 18.48 
5065	 51.48 
5066	 164.63 
5067	 112.62 
5068	 70.82 
5069	 182.76 
5070	 61.27 
5071	 138.73 
5072	 40.64 
5073	 62.36 
5074	 118.77 
5075	 136.08 
5076	 146.83 
5077	 72.18 
5079	 39.22 
5080	 341.59 
5081	 16.02 
5082	 36.84 
5083	 53.96 
5084	 67.99 
5085	 54.14 
5086	 67.03 
5087	 179.58 
5088	 64.37 
5089	 126.39 
5090	 94.28 
5091	 58.28 
5092	 41.38 
5093	 75.14 
5094	 14.91 
5095	 44.27 
5096	 90.31 
5097	 174.92 
5098	 21.31 
5099	 98.76 
5100	 110.18 
5101	 100.85 
5103	 111.55 
5104	 11.52 
5105	 33.62 
5106	 86.97 
5107	 48.78 
5108	 107.58 
5109	 76.29 
5110	 35.21 
5111	 59.66 
